id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5698345,Beautiful Room in Agoura Hills,6375700,Cecilia,,Agoura Hills,34.1527603,-118.7730624,Private room,45,3,2,3/9/16,0.11,1,289
1370927,"Big, Kid-Friendly House with Yard!",7434012,Tori,,Agoura Hills,34.15292168,-118.7892054,Entire home/apt,150,5,4,7/11/15,0.15,1,0
14019384,3BR Agoura Hills Waterfront House,86748234,Evolve Vacation Rental,,Agoura Hills,34.15113565,-118.7904509,Entire home/apt,285,4,1,12/16/16,0.38,1,0
7789103,"Warm, suburban family home and pool",40905183,Stefanie,,Agoura Hills,34.15311889,-118.7621196,Entire home/apt,250,2,0,,,1,0
14536547,Beautiful Home in Agoura Hills,68446088,Maria,,Agoura Hills,34.15102564,-118.7912126,Entire home/apt,319,1,1,11/25/16,0.3,2,335
12627455,jakes place,68561716,Robert,,Agoura Hills,34.13925262,-118.7359702,Entire home/apt,850,1,3,8/28/16,0.29,1,365
7842682,Agoura Hills Rainbow View...,41322776,Danna,,Agoura Hills,34.15693485,-118.7881225,Entire home/apt,340,2,40,1/3/17,2.15,1,331
13671213,Nice room in beutiful Mountains,67631110,Ester,,Agoura Hills,34.1453084,-118.7720656,Private room,40,3,3,2/2/17,0.43,1,126
989831,Be my guest at newly remodeled home,5433968,Maryam,,Agoura Hills,34.14854854,-118.7709842,Private room,70,2,21,12/31/16,0.46,2,364
8295931,Parisian large apartment,43126477,Rhiannon,,Agoura Hills,34.14885624,-118.7593387,Entire home/apt,129,2,3,3/1/16,0.21,1,365
15043283,"Beautiful, Brand New Home with Views",8763207,Hayley,,Agoura Hills,34.14131437,-118.746308,Entire home/apt,350,1,6,12/31/16,1.18,2,79
3510544,Agoura Hills Private Room ,17675084,Marlene,,Agoura Hills,34.16636398,-118.7487028,Private room,85,1,32,2/12/17,1.06,1,3
6810048,Office Space,35649860,Max,,Agoura Hills,34.14317803,-118.7424946,Shared room,987,1,0,,,1,0
5798058,Lovely room with a view,3159697,Tam,,Agoura Hills,34.15050862,-118.7874688,Private room,75,1,2,9/25/16,0.09,4,363
3175657,Nice California King Size bed,5433968,Maryam,,Agoura Hills,34.14939925,-118.7692024,Private room,75,2,13,11/24/16,0.42,2,364
12610053,Beautiful Bedroom & private Bath,68446088,Maria,,Agoura Hills,34.15069069,-118.7911953,Private room,87,1,20,11/17/16,1.94,2,273
683355,one bedroom with  shared bath.,3159697,Tam,,Agoura Hills,34.14939298,-118.7875574,Private room,55,2,29,9/19/16,0.55,4,361
10576630,Private Bedroom & Bathroom in Single Story House,54546599,Sean & Corinne,,Agoura Hills,34.15075683,-118.7870057,Private room,55,2,12,11/8/16,1.09,1,0
6513704,Nice bedroom with shared bath,3159697,Tam,,Agoura Hills,34.1510358,-118.7876665,Private room,75,2,5,10/24/16,0.28,4,364
5059964,Charming House on A Cul-de-sac,26128286,David,,Agoura Hills,34.15303233,-118.7873219,Private room,80,1,15,8/30/16,0.6,1,305
9778002,Comfortable room with shared bath,3159697,Tam,,Agoura Hills,34.15103443,-118.7874396,Private room,49,2,4,2/10/17,0.29,4,90
6239043,Private Cal King right off Hwy 101*,32380257,Wendy,,Agoura Hills,34.14530973,-118.742003,Private room,62,30,14,8/11/16,0.63,3,365
